"source_row_id","source_sheet","source_file","meeting_date","meeting_month","mentor_person_id","mentee_person_id","match_id","recap_url","recap_note","meeting_type","mapping_status","mapping_notes","approved_for_import","review_note"
"Cleaning data:1673","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-27","2026-03","321c145c-5d79-4a53-82c8-8496c2677604","77dcfde5-fc40-4125-8650-62dd757b35fe","","https://www.facebook.com/hashtag/uehef11445?__eep__=6&__cft__[0]=AZZbUpp7CBEsiuQ3qDOI5-JZYy301Huohaw-oOon1WaQG1L7wfRfT_9907VNUp0za2JJRPU54Gj7l60XtTvP60ROWewkaHbXBld4hDZhmm3_EeJXPTsQBTMA8YSxJ2r7asOW4QUYLbzXhJY67xPQ7fEH&__tn__=*NK-R","[#UEHEF11445](https://www.facebook.com/hashtag/uehef11445?__eep__=6&__cft__[0]=AZZbUpp7CBEsiuQ3qDOI5-JZYy301Huohaw-oOon1WaQG1L7wfRfT_9907VNUp0za2JJRPU54Gj7l60XtTvP60ROWewkaHbXBld4hDZhmm3_EeJXPTsQBTMA8YSxJ2r7asOW4QUYLbzXhJY67xPQ7fEH&__tn__=*NK-R) [#training](https://www.facebook.com/hashtag/training?__eep__=6&__cft__[0]=AZZbUpp7CBEsiuQ3qDOI5-JZYy301Huohaw-oOon1WaQG1L7wfRfT_9907VNUp0za2JJRPU54Gj7l60XtTvP60ROWewkaHbXBld4hDZhmm3_EeJXPTsQBTMA8YSxJ2r7asOW4QUYLbzXhJY67xPQ7fEH&__tn__=*NK-R) [RECAP TRAIN","training","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair.","false","Confirm whether import may proceed without match_id."
"Cleaning data:1700","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-26","2026-03","d30bb1a5-f0f3-4abf-acf6-efa6b33f7343","df13f340-dd54-4197-aa39-683708446694","","https://system.local/missing-url","#UEHEM11581 #training [RECAP TRAINING 06: ""STORYTELLING - TELL IT YOUR WAY"" - 25/03/2026] Trainer: Anh Trần Hùng Thiện Trainee: Phạm Ngọc Thùy Trang ----------------------------------- Xin chào đại gia đình UEH Mentoring! Em Trang lại quay trở lại với một chiếc recap mới rồi đâyy ✨ Lần này có một chút “đổi gió”, thay vì đánh lẻ với anh Mentor như mọi khi, lần này em Trang có dịp được tham gia **buổi training số 6 với **chủ đề *Storytelling – “Tell it your way”* do anh **Trần Hùng Thiện** dẫn dắt","training","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated generic placeholder recap_url because source URL/reference is missing.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1766","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-16","2026-03","af271ba5-7cb0-4257-9dab-ba19f7f7c2fd","d4e8a474-c3b7-40be-852e-cc4a6d42d62b","","https://system.local/missing-url?ref=x","**#UEHEM11356** **#mentoring** [RECAP BUỔI 4 - 15/03/2026] Mentor: Nguyễn Ngọc Sang Mentee: Nguyễn Thiện Nhân Trong buổi chia sẻ này, anh Sang đã giúp em xây dựng CV cùng portfolio, đồng thời chỉ rõ những chỗ cần thay đổi để tăng sức thuyết phục khi nộp đơn. Anh gợi ý cách đưa số liệu và kết quả vào mỗi project, và hướng dẫn format chuẩn cho portfolio để nhà tuyển dụng dễ nắm bắt năng lực của em. Đồng thời, anh cũng hướng dẫn em làm Career path và những kỹ năng cần ưu tiên học trong 3-6 tháng tớ","mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated placeholder recap_url from recap_reference.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1767","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-15","2026-03","7d90f8bb-7442-4c9d-9644-459895862597","b958c8bb-9ccd-4866-a922-53fdb5693444","","https://system.local/missing-url?ref=x","Chủ đề: Cân bằng cảm xúc #UEHEF11421 #mentoring **[RECAP BUỔI 4 - 14/03/2026]** Mentor: Chị Trần Hoàng Yến Mentee: Huỳnh Tiểu Phụng 🧠 **PHẦN 1: HIỂU VỀ NGUỒN GỐC CỦA CẢM XÚC (MÔ HÌNH 3 NÃO)** Dựa vào Mô hình 3 não của Paul McLean, não bộ chúng ta gồm 3 tầng chính: * Tầng 1 - Não bò sát: Thiên về bản năng sinh tồn, phản ứng nhanh, tự động (chiến, chạy, đứng im). * Tầng 2 - Não thú (Hệ viền): Là trung tâm của cảm xúc, ký ức và gắn bó. * Tầng 3 - Não người (Vỏ não trước trán): Là khả năng tư duy l","mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated placeholder recap_url from recap_reference.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1785","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-12","2026-03","1865ad19-02c3-4ac5-9f2c-9eb0201be78b","eb045c6b-c3d4-46be-b39a-a4b77bdf1d2c","","https://system.local/missing-url?ref=x","[#UEHEM11121] [#mentoring][RECAP BUỔI 4 ngày 9/03/2026] Mentor: Anh Đặng Thương Tín Mentee: Phạm Hồng Hải Em xin phép gửi bản tóm tắt những nội dung chính và bài học em đúc kết được từ buổi mentoring tiếp theo của hai anh em. Buổi trò chuyện lần này mang lại cho em một cảm giác rất chân thực và đi thẳng vào vấn đề. Thông qua những góc nhìn và chia sẻ thực tế của anh, em đã tìm ra hướng giải quyết cho những vướng mắc của mình trong cả công việc lẫn quá trình rèn luyện bản thân. Trong buổi này, ch","mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated placeholder recap_url from recap_reference.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1787","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-11","2026-03","4d432edc-dd95-4217-94df-73de720c5e19","5c056018-95d3-4125-9a8f-c39d1b28ecf6","","https://system.local/missing-url","#UEHEM11527 #CrossMentoring [RECAP BUỔI 3 - 08/032026] Mentor: Thầy Đinh Quang Lập, anh Nguyễn Duy Hoàng, anh Phạm Tiến Đắc Mentee: Nguyễn Thị Thanh Thư —————— Sau một khoảng thời gian khá dài, mình mới có dịp gặp lại mọi người trong chương trình mentoring. Buổi gặp diễn ra trong không khí rất cởi mở và mình đã được lắng nghe nhiều chia sẻ thú vị xoay quanh chủ đề khởi nghiệp. Trước đây, mình gần như rất ít khi nghĩ đến việc khởi nghiệp. Mình luôn cho rằng bản thân không phải là người có “máu ki","cross_mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated generic placeholder recap_url because source URL/reference is missing.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1789","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-11","2026-03","683dbbaf-0265-4a78-8810-4e1f39390cab","469b25e4-7f7e-43a8-a7cc-d32f3964d87a","","https://system.local/missing-url?ref=x","#UEHEF11241 #mentoring [RECAP BUỔI 4 - 10/03/2026] Mentor: Anh Phạm Ngọc Bình Mentee: Nguyễn Hoàng Khánh Linh -------------------------------------------------------------------------- Chào mọi người trong cộng đồng UEH Mentoring, em/mình là Khánh Linh, sinh viên năm 3 ngành Kinh doanh quốc tế. Sáng hôm qua mình đã có buổi gặp mặt thứ 4 với anh Bình, là mentor đồng hành cùng mình trong hành trình này. Sau buổi gặp mặt này, mình đã đúc kết được những bài học rất ấn tượng cho riêng mình, xin phép","mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated placeholder recap_url from recap_reference.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1794","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-10","2026-03","683dbbaf-0265-4a78-8810-4e1f39390cab","f205e3f6-17e5-4db4-9757-c822d852b6a7","","https://system.local/missing-url?ref=x","#UEHEM11289 #Mentoring [RECAP BUỔI 6_Ngày 10/03/2026] Mentor: Anh Du Nguyên Chương Mentee: Lê Phương Nam Mentoring Recap 🐝 Một buổi gặp đầu năm mới với thật nhiều điều cần trình bày. Buổi hôm nay mình đã định vị được bản thân của mình đang ở đâu - điều mà đầu chương trình tớ nghĩ nó là mây mù và dường như không biết sẽ còn vô định tới bao giờ. Song nay tớ mới nhận ra đó giờ mình đã áp dụng check list, master plan, action plan ở khắp mọi nơi nhưng trong công việc của mình thì lại không, vậy tại","mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated placeholder recap_url from recap_reference.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1798","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-10","2026-03","94f62948-0f16-4c92-be8a-3ab6095a155d","43b2d40b-7629-41f8-9936-5505f9afa60f","","https://system.local/missing-url","#UEHEF11303 #training RECAP TRAINING 05 [COMMUNICATION SKILLS, CRITICAL THINKING & PUBLIC SPEAKING - 08/03/2026] Trainer: Mr.Rafa Barreto Trainee: Mai Kim Ngân On March 8th, I had the opportunity to attend Training Session 05 on Communication Skills, Critical Thinking, and Public Speaking, and it was a valuable experience for me. Although the session was not very long, the content was condensed and practical. One key idea that stood out was that success comes from 10% training, 20% coaching, and","training","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated generic placeholder recap_url because source URL/reference is missing.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1836","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-02","2026-03","b10f8c3a-bc87-42d9-bedf-d4082694a995","56f292bf-7535-4be5-8757-ed49fff00604","","https://system.local/missing-url?ref=x","#UEHEF11179 #Mentoring Recap buổi 4 - 28/02/2026 Mentor: Chị Trần Thị Thùy Dương Mentee: Nguyễn Thị Khánh Huyền Lời đầu tiên, mình xin gửi lời chào đến mọi người trong group. Mình là Khánh Huyền. Trong buổi gặp mentor vừa qua, mình rất biết ơn khi nhận được sự hỗ trợ và đồng hành từ chị Dương - mentor của mình. Buổi trò chuyện lần này giúp mình nhìn lại một năm đã qua một cách rõ ràng và có chiều sâu hơn. Trước buổi gặp, chị Dương đã chuẩn bị và gửi cho mình bài tập gồm 3 bài học của năm 2025 và","mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated placeholder recap_url from recap_reference.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
"Cleaning data:1839","Cleaning data","TRACKING _ SEASON 11.xlsx","2026-03-01","2026-03","b10f8c3a-bc87-42d9-bedf-d4082694a995","da323df6-b961-42ae-a8c1-266da6d12faf","","https://system.local/missing-url?ref=x","#UEHEM11483 #mentoring [RECAP BUỔI 3 - 24/02/2026] Mentor: Nguyễn Thị Hương Tú Mentee: Phan Đức Thắng ------------------------------------------- Welcome to Mentoring Section 3 của Thắng. Section 3 bắt đầu ngay sau sau khi cả mình và chị Tú đều đón một cái Tết khác với mọi năm trước đây và do đó nó mang nhiều chất liệu đến với các câu chuyện trong buổi mentoring. Nội dung section 3 đi từ những câu chuyện ngày Tết đến Gia đình, Tình yêu và Công việc và xen lẫn trong đó là nhiều câu chuyện về nhâ","mentoring","missing_match","Mentee mapped by student_code/MSSV. Mentor mapped by normalized full name. No UEHM-S11 match found for mapped mentor/mentee pair. Generated placeholder recap_url from recap_reference.","false","Confirm whether import may proceed without match_id. Placeholder URL requires human approval."
